Algo,Config,Metric,Value,Unit
BB84,10 Qubits,Moyenne (Sans Eve),0.0,%
BB84,10 Qubits,Moyenne (Avec Eve),24.314999999999998,%
BB84,10 Qubits,Max (Avec Eve),100.0,%
BB84,20 Qubits,Moyenne (Sans Eve),0.0,%
BB84,20 Qubits,Moyenne (Avec Eve),25.945395486866072,%
BB84,20 Qubits,Max (Avec Eve),77.77777777777779,%
BB84,40 Qubits,Moyenne (Sans Eve),0.0,%
BB84,40 Qubits,Moyenne (Avec Eve),24.616579045988548,%
BB84,40 Qubits,Max (Avec Eve),58.333333333333336,%
BB84,50 Qubits,Moyenne (Sans Eve),0.0,%
BB84,50 Qubits,Moyenne (Avec Eve),24.869156621755202,%
BB84,50 Qubits,Max (Avec Eve),52.94117647058824,%
